ID,RA,e_RA,DEC,e_DEC,Sint,e_Sint,Spk,e_Spk,MAJAX,e_MAJAX,MINAX,e_MINAX,PA,e_PA,Island_RMS,S_Code,Mosaic_Name
J123234.1+514108,188.14241,2.0,51.68583,2.0,148.6,15.5,129.3,13.2,27.3,0.6,26.3,0.5,28.9,23.6,2.7,S,R38D64
J123239.6+494924,188.16501,2.0,49.82337,2.0,206.5,21.1,174.5,17.6,27.7,0.4,26.7,0.4,-23.4,17.8,2.5,S,R38D64
J123254.3+493604,188.22656,2.1,49.60133,2.0,78.6,9.0,68.7,7.4,28.5,1.2,25.1,0.9,-54.0,12.0,2.6,S,R39D63
J123259.6+513404,188.24875,2.1,51.56779,2.1,66.5,8.1,59.5,6.5,27.2,1.3,25.7,1.1,-75.7,35.3,2.7,S,R38D64
J123311.3+502726,188.29723,2.0,50.45732,2.0,104.2,11.3,89.0,9.3,28.2,0.9,25.9,0.7,-19.5,15.5,2.5,S,R38D64
J123312.3+501419,188.30145,3.8,50.23872,3.2,49.5,6.0,17.6,3.1,53.7,8.9,32.6,4.1,-55.7,16.8,2.5,S,R38D64
J123315.8+492836,188.31618,2.0,49.47676,2.0,135.2,14.2,110.8,11.4,29.3,0.8,26.1,0.6,-54.6,8.0,2.6,S,R39D63
J123319.6+500824,188.33208,2.2,50.14019,2.3,37.3,5.5,30.5,4.0,30.5,2.8,25.1,1.9,24.5,19.5,2.4,S,R38D64
J123321.9+504738,188.34142,2.0,50.79405,2.0,245.7,24.9,186.6,18.9,31.0,0.5,26.6,0.4,21.6,4.9,2.6,C,R38D64
J123322.9+504841,188.34557,2.0,50.81149,2.0,856.4,85.9,669.1,67.0,32.6,0.1,27.4,0.1,-20.7,1.1,2.6,M,R38D64
J123327.8+504812,188.36607,2.3,50.80347,2.3,32.6,5.5,28.3,3.9,27.9,2.7,25.8,2.3,37.5,51.9,2.6,C,R38D64
J123330.0+494051,188.37541,2.2,49.68102,2.2,41.8,6.0,35.9,4.4,28.1,2.1,25.9,1.8,-32.7,36.1,2.5,S,R39D63
J123331.8+503836,188.38272,2.6,50.64351,2.8,26.5,5.0,19.3,3.3,30.9,4.6,27.9,3.8,11.1,61.2,2.6,S,R38D64
